Country,Data source,Sector,Gas,Unit,2010,2011,2012,2013,2014,2015,2016,2017,emm2018
Malawi,CAIT,Total including LUCF,All GHG,MtCO₂e,20.48,21,21.87,22.49,23.53,24.41,24.98,25.4,26.83
Bosnia and Herzegovina,CAIT,Total including LUCF,All GHG,MtCO₂e,26.3,25.35,23.56,23.33,20.75,20.93,25.46,25.73,25.45
Equatorial Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,29.62,29.36,29.21,28.11,26.39,25,22.98,22.53,23.1
Trinidad and Tobago,CAIT,Total including LUCF,All GHG,MtCO₂e,25.7,26.52,25.74,26.63,26.1,25.71,22.97,23.2,23.03
Liberia,CAIT,Total including LUCF,All GHG,MtCO₂e,18.55,19.34,20.04,20.63,21.87,23.19,22.58,22.52,22.66
Namibia,CAIT,Total including LUCF,All GHG,MtCO₂e,23.48,28.46,30.05,23.26,22.53,22.66,23.4,23.45,22.49
Panama,CAIT,Total including LUCF,All GHG,MtCO₂e,20.28,21.37,22.08,22.42,23.03,22.5,22.72,22.29,22.41
Yemen,CAIT,Total including LUCF,All GHG,MtCO₂e,35.61,32.39,31.47,38.35,38.81,26.05,22.74,21.97,21.76
Estonia,CAIT,Total including LUCF,All GHG,MtCO₂e,20.26,14.54,13.31,15.72,14.39,11.95,20.21,20.86,20.56
Republic of Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,19.65,19.89,19.8,19.35,19,19.03,20.22,19.88,20.29
Ghana,CAIT,Total including LUCF,All GHG,MtCO₂e,74.94,61.83,64.77,67.66,68.23,70.87,16.43,18.03,19.6
Bulgaria,CAIT,Total including LUCF,All GHG,MtCO₂e,33.49,50.74,45.04,39.96,42.55,45.2,20.47,22.65,19.52
Guyana,CAIT,Total including LUCF,All GHG,MtCO₂e,13.13,20.86,21.1,21.25,21.45,21.57,18.84,18.91,19.12
Croatia,CAIT,Total including LUCF,All GHG,MtCO₂e,25.35,24.41,22.45,21.33,20.6,21.19,18.39,19.06,18.21
Lithuania,CAIT,Total including LUCF,All GHG,MtCO₂e,20.55,13.92,13.83,12.94,12.46,12.71,18.21,18.11,18.21
Slovenia,CAIT,Total including LUCF,All GHG,MtCO₂e,7.56,16.4,15.79,15.15,13.6,13.68,17.48,17.65,17.51
Brunei,CAIT,Total including LUCF,All GHG,MtCO₂e,18.47,17.62,17.66,17.45,17.39,16.27,16.57,16.66,16.95
Georgia,CAIT,Total including LUCF,All GHG,MtCO₂e,9.48,14.38,15.26,16.05,16.63,16.97,17.39,17.19,16.9
Tajikistan,CAIT,Total including LUCF,All GHG,MtCO₂e,8.43,8.66,9.44,9.86,11.3,11.88,13.52,14.07,15.08
Kyrgyzstan,CAIT,Total including LUCF,All GHG,MtCO₂e,12.32,13.01,15.6,15.13,15.67,16.23,13.25,12.97,14.86
Gabon,CAIT,Total including LUCF,All GHG,MtCO₂e,9.91,14.26,14.5,14.52,14.33,14.46,14.85,14.03,13.97
El Salvador,CAIT,Total including LUCF,All GHG,MtCO₂e,13.7,13.63,13.78,13.05,13.34,13.81,13.8,13.05,13.44
Moldova,CAIT,Total including LUCF,All GHG,MtCO₂e,11.53,12.25,12,11.15,11.81,12.02,12.78,12.81,13.28
Suriname,CAIT,Total including LUCF,All GHG,MtCO₂e,7.33,11.87,12.35,12.19,12.63,12.74,13.42,13.26,13.15
Mauritania,CAIT,Total including LUCF,All GHG,MtCO₂e,11.5,11.62,12.07,12.06,12.55,13.22,12.17,12.84,12.99
Sierra Leone,CAIT,Total including LUCF,All GHG,MtCO₂e,8.73,9.37,10.49,10.45,10.97,11.23,11.03,10.88,10.57
Haiti,CAIT,Total including LUCF,All GHG,MtCO₂e,8.64,9.62,9.36,9.65,10.01,10.34,10.53,10.54,10.56
Macedonia,CAIT,Total including LUCF,All GHG,MtCO₂e,11.75,12.7,12.12,11.24,10.82,10.56,10.53,11.01,10.51
Jamaica,CAIT,Total including LUCF,All GHG,MtCO₂e,6.44,9.24,8.81,9.29,9.13,9.02,9.41,8.87,10.2
Luxembourg,CAIT,Total including LUCF,All GHG,MtCO₂e,11.46,11.59,11.34,10.81,10.32,9.81,9.5,9.64,9.94
Albania,CAIT,Total including LUCF,All GHG,MtCO₂e,8.01,8.79,8.4,8.6,9.08,9.01,9.49,10.06,9.84
Armenia,CAIT,Total including LUCF,All GHG,MtCO₂e,7.88,8.3,9.29,9.22,9.18,9.18,9.54,9.32,9.4
Togo,CAIT,Total including LUCF,All GHG,MtCO₂e,8.49,8.94,8.42,8.27,7.99,8.74,9.06,8.84,9.24
Burundi,CAIT,Total including LUCF,All GHG,MtCO₂e,7.36,2.6,2.66,3.02,2.96,2.94,8.25,8.88,8.99
Latvia,CAIT,Total including LUCF,All GHG,MtCO₂e,-1.41,9.1,8.89,8.84,8.76,8.83,8.56,8.47,8.89
Costa Rica,CAIT,Total including LUCF,All GHG,MtCO₂e,13.11,7.01,7,7.49,7.49,7.4,8.31,8.43,8.54
Cyprus,CAIT,Total including LUCF,All GHG,MtCO₂e,8.87,8.56,8.05,7.38,7.77,7.83,8.29,8.43,8.35
Eritrea,CAIT,Total including LUCF,All GHG,MtCO₂e,7.95,8.01,7.91,7.8,7.68,7.52,7.7,7.78,7.93
Rwanda,CAIT,Total including LUCF,All GHG,MtCO₂e,7.78,6.82,6.98,7.15,7.18,7.85,7.71,7.76,7.82
Belize,CAIT,Total including LUCF,All GHG,MtCO₂e,4.6,7.22,6.94,6.94,6.79,7,6.77,6.84,6.82
Mauritius,CAIT,Total including LUCF,All GHG,MtCO₂e,5.86,5.83,5.99,6.12,6.33,6.37,6.5,6.7,6.71
Timor-Leste,CAIT,Total including LUCF,All GHG,MtCO₂e,7.52,7.41,7.39,7.36,7.33,7.36,7.23,6.86,6.66
Lesotho,CAIT,Total including LUCF,All GHG,MtCO₂e,4.9,5.1,5.28,5.28,5.39,5.39,5.42,5.78,5.85
Guinea-Bissau,CAIT,Total including LUCF,All GHG,MtCO₂e,4.13,4.05,4.48,4.25,4.35,4.59,4.37,4.39,4.44
Montenegro,CAIT,Total including LUCF,All GHG,MtCO₂e,0.05,4.07,3.83,3.69,3.59,3.69,3.43,3.56,3.83
Barbados,CAIT,Total including LUCF,All GHG,MtCO₂e,3.99,4.09,4.65,3.94,3.76,3.77,3.81,3.72,3.79
Iceland,CAIT,Total including LUCF,All GHG,MtCO₂e,3.24,2.99,2.98,3.14,3.21,3.25,3.22,3.34,3.35
Gambia,CAIT,Total including LUCF,All GHG,MtCO₂e,3.09,2.79,2.89,2.97,3.12,3.15,3.19,3.23,3.31
Eswatini,CAIT,Total including LUCF,All GHG,MtCO₂e,2.82,2.84,2.9,3.41,2.83,2.88,3.09,2.93,3
Bahamas,CAIT,Total including LUCF,All GHG,MtCO₂e,2.42,2.82,4,3.53,3,2.76,2.6,2.61,2.65
Maldives,CAIT,Total including LUCF,All GHG,MtCO₂e,1.14,1.22,1.38,1.39,1.65,1.66,2.12,2.23,2.38
Grenada,CAIT,Total including LUCF,All GHG,MtCO₂e,2.26,2.27,2.41,2.32,2.26,2.29,2.31,2.33,2.36
Malta,CAIT,Total including LUCF,All GHG,MtCO₂e,2.99,2.98,3.16,2.83,2.84,2.16,1.86,2.01,2.03
Djibouti,CAIT,Total including LUCF,All GHG,MtCO₂e,1.46,1.42,1.46,1.52,1.43,1.52,1.47,1.46,1.48
Antigua and Barbuda,CAIT,Total including LUCF,All GHG,MtCO₂e,1.04,1.07,1.29,1.06,1.07,1.1,1.13,1.16,1.21
Bhutan,CAIT,Total including LUCF,All GHG,MtCO₂e,-4.99,0.48,0.62,0.67,0.74,0.77,1.01,1.11,1.16
Vanuatu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.74,0.76,0.76,0.76,0.82,0.81,0.86,0.86,0.87
Samoa,CAIT,Total including LUCF,All GHG,MtCO₂e,0.63,0.65,0.65,0.66,0.68,0.73,0.77,0.78,0.8
Seychelles,CAIT,Total including LUCF,All GHG,MtCO₂e,0.56,0.52,0.57,0.54,0.6,0.65,0.69,0.74,0.78
Cape Verde,CAIT,Total including LUCF,All GHG,MtCO₂e,0.71,0.7,0.67,0.65,0.65,0.66,0.71,0.73,0.77
Comoros,CAIT,Total including LUCF,All GHG,MtCO₂e,0.5,0.51,0.52,0.55,0.55,0.57,0.6,0.64,0.65
Andorra,CAIT,Total including LUCF,All GHG,MtCO₂e,0.63,0.6,0.6,0.59,0.58,0.58,0.59,0.59,0.59
Saint Lucia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.58,0.54,0.69,0.49,0.54,0.56,0.54,0.57,0.59
Sao Tome and Principe,CAIT,Total including LUCF,All GHG,MtCO₂e,0.16,0.36,0.38,0.39,0.38,0.39,0.39,0.4,0.41
Saint Kitts and Nevis,CAIT,Total including LUCF,All GHG,MtCO₂e,0.35,0.37,0.45,0.33,0.34,0.35,0.35,0.35,0.37
Saint Vincent and the Grenadines,CAIT,Total including LUCF,All GHG,MtCO₂e,0.33,0.31,0.48,0.3,0.37,0.3,0.35,0.35,0.37
Tonga,CAIT,Total including LUCF,All GHG,MtCO₂e,0.26,0.25,0.26,0.26,0.27,0.27,0.31,0.34,0.35
Palau,CAIT,Total including LUCF,All GHG,MtCO₂e,0.23,0.24,0.24,0.24,0.25,0.25,0.29,0.3,0.32
Fiji,CAIT,Total including LUCF,All GHG,MtCO₂e,-0.18,-0.18,-0.2,-0.04,0.2,-0.17,0.07,0.19,0.28
Micronesia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.16,0.17,0.18,0.19,0.19,0.2,0.22,0.23,0.24
Marshall Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.22,0.24
Dominica,CAIT,Total including LUCF,All GHG,MtCO₂e,0.24,0.23,0.31,0.23,0.24,0.24,0.24,0.22,0.23
Liechtenstein,CAIT,Total including LUCF,All GHG,MtCO₂e,0.26,0.21,0.22,0.23,0.2,0.19,0.19,0.19,0.18
Kiribati,CAIT,Total including LUCF,All GHG,MtCO₂e,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11
Cook Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1
Nauru,CAIT,Total including LUCF,All GHG,MtCO₂e,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08
Tuvalu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Niue,CAIT,Total including LUCF,All GHG,MtCO₂e,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01
